p,d,q,MAPE
1,6,12,3009.8571171799267
1,6,13,2786.246259533677
1,6,14,3374.0412333194436
1,6,15,3821.5904737081814
1,6,16,3855.2010213641006
1,6,17,3313.503615399999
1,6,18,2086.257244266321
1,6,19,3653.267735217945
1,7,1,103004.2124717889
1,7,2,39536.106670273686
1,7,3,7641.50065237945
1,7,4,1799.9592606850588
1,7,5,1930.6931043844531
1,7,6,3616.031793034157
1,7,7,3667.645185028376
1,7,8,3745.48097577567
1,7,9,2694.5912766817446
1,7,10,2412.2539639509837
1,7,11,1195.6769553383247
1,7,12,886.8176459458448
1,7,13,3592.1029046711396
1,7,14,1092.8744659715233
1,7,15,1003.2064261879839
1,7,16,2075.5733624662616
1,7,17,1040.4124240475653
1,7,18,1471.683976477863
1,7,19,21002905683.47377
1,8,1,157447.15889741987
1,8,2,129051.88947761596
1,8,3,52994.8760591893
1,8,4,60205.69084928706
1,8,5,43052.89520125369
1,8,6,28781.211642170438
1,8,7,32209.131085925615
1,8,8,32410.5426031425
1,8,9,32436.575656100893
1,8,10,34971.14707314263
1,8,11,44485.33540534783
1,8,12,49732.52415099605
1,8,13,47885.74967242959
1,8,14,54080.6630139135
1,8,15,51575.103160891456
1,8,16,46594.080178120086
1,8,17,43901.09175658925
1,8,18,29139.07481773851
1,8,19,80021.77966222087
1,9,1,504290.1944287346
1,9,2,181507.26445415072
1,9,3,195954.07565615867
1,9,4,231054.56165292257
1,9,5,195259.63061018716
1,9,6,166377.28741032985
1,9,7,157559.95972720924
1,9,8,176933.20985069685
1,9,9,164431.41265985888
1,9,10,166087.7828471397
1,9,11,177357.16967499547
1,9,12,191984.61224522526
1,9,13,190242.1602700012
1,9,14,210556.10605055926
1,9,15,194117.90472252682
1,9,16,184741.00170524142
1,9,17,164375.23997248316
1,9,18,168929.89957074152
1,9,19,240680.11764014413
1,10,1,4608334.02859517
1,10,2,634745.1335362897
1,10,3,255753.19142042668
1,10,4,482579.0100693367
1,10,5,488016.64258604735
1,10,6,467169.79345800274
1,10,7,437643.5256005962
1,10,8,413778.9426531913
1,10,9,423372.91827057605
1,10,10,423893.8693159587
1,10,11,424607.9577624984
1,10,12,439363.09335658833
1,10,13,455462.0256673026
1,10,14,443169.3841520584
1,10,15,426607.7944341133
1,10,16,412549.3620238326
1,10,17,395567.3388758992
1,10,18,359764.7407872949
1,10,19,457323.40374827775
1,11,1,17820612.59910137
1,11,2,5499538.485263139
1,11,3,1198921.5898144813
1,11,4,324878.3692497609
1,11,5,790780.0441041108
1,11,6,926570.5734646514
1,11,7,897970.6112167445
1,11,8,561747.8574085435
1,11,9,718173.5228851171
1,11,10,733213.4633654444
1,11,11,740650.4885409649
1,11,12,738560.1645500446
1,11,13,812293.3970790454
1,11,14,738497.549286037
1,11,15,782564.5472893048
1,11,16,725469.2428931318
1,11,17,665761.8164222175
1,11,18,87548238278828.66
1,11,19,621000.9326641
1,12,1,36764820.244503275
1,12,2,20586016.11739979
1,12,3,8831341.002400097
1,12,4,2481979.0500508603
1,12,5,74403.43309756949
1,12,6,1123433.7279951512
1,12,7,1774431.0652051044
1,12,8,139725.8164595614
1,12,9,626019.6952678132
1,12,10,866421.4775633378
1,12,11,884488.9410481345
1,12,12,860507.588519501
1,12,13,743259.6315938749
1,12,14,1116776.5296015535
1,12,15,836523.7393895258
1,12,16,972749.0521276713
1,12,17,702174.8561046185
1,12,18,110276.2721508677
1,12,19,712699.696844158
1,13,1,23505753.481886964
1,13,2,41160837.90539281
1,13,3,30278264.318226278
1,13,4,14600869.043315066
1,13,5,6299200.459470528
1,13,6,1195630.830407877
1,13,7,1952032.201641952
1,13,8,4647235.934141689
1,13,9,1494329.096884233
1,13,10,143386.39599557017
1,13,11,455823.4368603703
1,13,12,169227.6944971141
1,13,13,2077212.3039980445
1,13,14,2073615.6964673751
1,13,15,390090.33962532383
1,13,16,96481.449114437
1,13,17,2184630.143470998
1,13,18,2671389.2592769475
1,13,19,3566172.1691342527
1,14,1,573505312.5647877
1,14,2,31949004.285588574
1,14,3,54326543.61306095
1,14,4,46134874.67047619
1,14,5,29809840.039297618
1,14,6,14056057.48480636
1,14,7,2621444.210585546
1,14,8,22162847.69489701
1,14,9,990399.9511220078
1,14,10,934826.5440729754
1,14,11,609539.5129131495
1,14,12,2066539.5598336267
1,14,13,672724.5884186727
1,14,14,9963267.454276763
1,14,15,658271.4775489182
1,14,16,1729119.2601478645
1,14,17,15430406302.906668
1,14,18,8915365.320075478
1,14,19,11736352.406195331
1,15,1,2860029606.440413
1,15,2,677003818.8576542
1,15,3,52191571.42687481
1,15,4,75872061.09009087
1,15,5,81499098.13823666
1,15,6,55556144.798495285
1,15,7,25295076.114781473
1,15,8,77410597.88290486
1,15,9,8430662.485302309
1,15,10,4351819.474386621
1,15,11,1193869.4904858575
1,15,12,394085.97635635437
1,15,13,5373478.385722549
1,15,14,21249824.136708826
1,15,15,3808757.303819144
1,15,16,5872564.203618085
1,15,17,1.1940498693088954e+19
1,15,18,86354141.94310433
1,15,19,46224297.842359915
1,16,1,9141698186.803467
1,16,2,3311436630.5945506
1,16,3,875602682.0057915
1,16,4,108369369.50044821
1,16,5,109589962.99464631
1,16,6,145495732.09080714
1,16,7,92956561.49097657
1,16,8,230573250.95813325
1,16,9,58048293.898268916
1,16,10,6386554.248252052
1,16,11,34991591.58404444
1,16,12,22374380.436473604
1,16,13,9962221.52926543
1,16,14,49572486.66967194
1,16,15,35583674.20246789
1,16,16,40643944.047055535
1,16,17,66824923.791400485
1,16,18,67124034.95544727
1,16,19,88646129.34543961
1,17,1,18779858675.9465
1,17,2,10159188371.027044
1,17,3,4061551411.8635306
1,17,4,1353430299.5241776
1,17,5,229089187.876142
1,17,6,101169171.92978738
1,17,7,205255218.14163935
1,17,8,636475292.4614189
1,17,9,403538219.14847755
1,17,10,177171571.0356183
1,17,11,2822867.309310639
1,17,12,141315777.03855118
1,17,13,26984672.004200723
1,17,14,59050435.8323639
1,17,15,350651265.98351854
1,17,16,13982651717815.955
1,17,17,548051463.4685923
1,17,18,1056999904.1000999
1,17,19,227450431.38726223
1,18,1,4153039910.7452645
1,18,2,20217320891.42748
1,18,3,12235352245.030355
1,18,4,5920975446.334008
1,18,5,2139358639.4275074
